codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria,imagem,catalogo
205,(HS) MAX DUCHA 5500W 220V 26A,"-8,000",UN,8.99,0.0,TECNO CORTE,ELETRICA,,SIM
231,(HS) RESISTENCIA BELA ULTRA 4T,"245,000",UN,16.63,0.0,DIAMETALIC FERRA,ELETRICA,,SIM
474,ABRACADEIRA 200X4.8MM PRETA,"51,000",UN,9.46,0.0,APLASTEC,UTILIDADES,,SIM
404,ABRACADEIRA 4.8X280MM PRETA,"0,000",UN,13.96,0.0,APLASTEC,UTILIDADES,,SIM
472,ABRACADEIRA DE NYLON 100X2.5MM B,"12,000",UN,2.46,0.0,APLASTEC,UTILIDADES,,SIM
473,ABRACADEIRA DE NYLON 100X2.5MM P,"12,000",UN,2.46,0.0,APLASTEC,UTILIDADES,,SIM
470,ABRACADEIRA DE NYLON 300X7.6MM P,"12,000",UN,12.44,0.0,APLASTEC,UTILIDADES,,SIM
413,"ABRACADEIRA DE NYLON 4,8X400MM B","36,000",UN,16.02,0.0,KL VITORIA - COM. D,UTILIDADES,,SIM
471,ABRACADEIRA DE NYLON 400X7.6MM P,"34,000",UN,17.1,0.0,APLASTEC,UTILIDADES,,SIM
176,ABRACADEIRA NYLON 7.6X450MM (B,"98,000",UN,39.9,0.0,SETE MARES COMER,UTILIDADES,,SIM
467,ADAPATADOR BENJAMIN T EM LATAO,"88,000",UN,2.1,0.0,APLASTEC,ELETRICA,,SIM
466,ADAPTADOR BOB SPONJA QUADRADO B,"72,000",UN,1.7,0.0,APLASTEC,ELETRICA,,SIM
286,ADAPTADOR DOBRAVEL 10 E 20A,"25,000",UN,11.04,0.0,,ELETRICA,,SIM
465,ADAPTADOR MULTIPLO INVERTIDO,"200,000",UN,2.24,0.0,APLASTEC,ELETRICA,,SIM
372,"ADESIVO MONOCOMPONENTE 400G, C","6,000",UN,14.9,0.0,KL VITORIA - COM. D,UTILIDADES,,SIM
354,ADESIVO SELANTE MONOCOMNENTE 4,"18,000",PC,14.9,0.0,KL VITORIA - COM. D,UTILIDADES,,SIM
359,"ADESIVO SELANTE MONOCOMPONENTE,4","18,000",UN,14.9,0.0,KL VITORIA - COM. D,UTILIDADES,,SIM
313,APARELHO DE BARBEAR DE USO MANU,"30,000",UN,29.96,0.0,SETE MARES COMER,UTILIDADES,,SIM
44,AR0438 - CHAVE PHILLIPS ISOLADA VE,"0,000",CX,7.58,0.0,STARTOOLS FERRA,FERRAMENTAS,,SIM
